name,passport,status,reason,time
moataz,A12345678,Arrested,on Wanted list,2026-07-25 11:25:41.363404
moataz,A12456387,Allowed,Valid documents,2026-07-25 11:28:40.834738
moataz,No Passport,Rejected,Invalid documents,2026-07-25 14:16:30.536247
moataz,A12345612,Allowed,Valid documents,2026-07-25 14:17:36.540379
moataz,A12345612,Allowed,Valid documents,2026-07-25 16:18:48.645372
moataz,A12345612,Allowed,Valid documents,2026-07-25 16:18:48.645372
moataz,A12345612,Allowed,Valid documents,2026-07-25 16:18:48.645372
moataz,A12345612,Allowed,Valid documents,2026-07-25 16:18:48.645372
moataz,A12345612,Allowed,Valid documents,2026-07-25 16:18:48.645372
mohamed,A13245612,Allowed,Valid documents,2026-07-26 07:35:19.626000
Saleh,A14725836,Allowed,Valid documents,2026-07-26 07:50:27.582727
